#Types Before Cut: 11091
#Types After Cut: 9677
#Search Hits: 0
411	30	21.200	чего
412	27	20.951	слова
413	13	20.880	бывает
414	13	20.880	говорила
415	13	20.880	специально
416	19	20.771	павел
417	14	20.522	надеюсь
418	10	20.431	интересные
419	10	20.431	рассказывала
420	28	20.283	совсем
421	40	19.854	говорить
422	11	19.239	будто
423	11	19.239	знаете
424	11	19.239	отец
425	11	19.239	пошел
426	19	19.190	хотел
427	12	18.659	делали
428	12	18.659	купить
429	12	18.659	семье
430	7	18.561	бабушкой
431	7	18.561	боже
432	7	18.561	буквы
433	7	18.561	двери
434	7	18.561	детство
435	7	18.561	детьми
436	7	18.561	друзьями
437	7	18.561	ездить
438	7	18.561	ехали
439	7	18.561	живёт
440	7	18.561	забыла
441	7	18.561	задание
442	7	18.561	карл
443	7	18.561	квартиры
444	7	18.561	красивый
445	7	18.561	ненавижу
446	7	18.561	нету
447	7	18.561	ноль
448	7	18.561	одни
449	7	18.561	парень
450	7	18.561	понравилась
451	7	18.561	пошёл
452	7	18.561	пытаюсь
453	7	18.561	ребят
454	7	18.561	секунд
455	7	18.561	скажи
456	7	18.561	сорок
457	7	18.561	супер
458	7	18.561	троих
459	7	18.561	троллейбус
460	7	18.561	человечек
461	7	18.561	читаю
462	7	18.561	чё
463	153	18.489	еще
464	16	18.479	реально
465	16	18.479	уж
466	13	18.389	другую
467	9	17.980	брали
468	9	17.980	видишь
469	9	17.980	друзей
470	9	17.980	едем
471	9	17.980	жил
472	9	17.980	институте
473	9	17.980	маленькая
474	9	17.980	мое
475	9	17.980	нечего
476	9	17.980	смеется
477	9	17.980	твоя
478	29	17.766	сама
479	27	17.757	ей
480	17	17.091	разные
481	10	16.937	мной
482	10	16.937	написано
483	29	16.864	соответственно
484	25	16.810	лучше
485	64	16.647	тогда
486	11	16.471	посмотреть
487	11	16.471	скажем
488	11	16.471	считаю
489	19	16.407	говоря
490	12	16.293	друзья
491	13	16.287	улице
492	13	16.287	языка
493	21	16.041	виктор
494	6	15.909	distinct
495	6	15.909	onion
